Service,Number,Name,Address,Dept,CP,Ville,Latitude,Longitude,WGS84
Vélib,14111,14111 - DENFERT-ROCHEREAU CASSINI,18 RUE CASSINI - 75014 PARIS,75,75014,PARIS,48.83754929,2.33598303,48.83754929
Vélib,14125,14125 - DAREAU,34 RUE DAREAU - 75014 PARIS,75,75014,PARIS,48.83072321,2.336146557,48.83072321
Vélib,17023,17023 - AVENUE DE LA PORTE D'ASNIÈRES,22 AVENUE DE LA PORTE D'ASNIERES - 75017 PARIS,75,75017,PARIS,48.89058622,2.303457409,48.89058622
Vélib,18036,18036 - FRANCIS DE CROISSET,7 RUE FRANCIS DE CROISSET - 75018 PARIS,75,75018,PARIS,48.89941068,2.345920133,48.89941068
Vélib,3011,03011 - TURBIGO,55 RUE TURBIGO - 75003 PARIS,75,75003,PARIS,48.86558419,2.356278448,48.86558419
Vélib,10004,10004 - METZ,7 RUE DE METZ - 75010 PARIS,75,75010,PARIS,48.87089343,2.353521565,48.87089343
Vélib,10033,10033 - LARIBOISIERE,15 RUE SAINT VINCENT DE PAUL - 75010 PARIS,75,75010,PARIS,48.88095574,2.352430515,48.88095574
Vélib,11021,11021 - PHILIPPE AUGUSTE (20EME ARR.),212 BOULEVARD CHARONNE - 75011 PARIS,75,75011,PARIS,48.85844505,2.390398122,48.85844505
Vélib,12106,12106 - BARTHES TROYES,3 RUE ROLAND BARTHES - 75012 PARIS,75,75012,PARIS,48.84394918,2.379081343,48.84394918
Vélib,21010,21010 - SILLY (BOULOGNE-BILLANCOURT),93 RUE DE SILLY - 92100 BOULOGNE-BILLANCOURT,92,92100,BOULOGNE-BILLANCOURT,48.83550441,2.232531432,48.83550441
Vélib,19125,19125 - LEDIT DE NANTES,PLACE LEDIT DE NANTES - 75019 PARIS,75,75019,PARIS,48.88879003,2.378500156,48.88879003
Vélib,20018,20018 - HARPIGNIES,2 RUE HARPIGNIES- 75020 PARIS,75,75020,PARIS,48.85862167,2.409942554,48.85862167
Vélib,13029,13029 - ITALIE,30 AVENUE D'ITALIE - 75013 PARIS,75,75013,PARIS,48.82903204,2.356183369,48.82903204
Vélib,14027,14027 - ALESIA GERGOVIE,FACE 83 RUE DE GERGOVIE - 75014 PARIS,75,75014,PARIS,48.83088717,2.318882101,48.83088717
Vélib,15043,15043 - BRANCION,122 RUE BRANCION - 75015 PARIS,75,75015,PARIS,48.82905422,2.301417436,48.82905422
Vélib,19028,19028 - PLACE DES FETES,17 RUE DES FETES - 75019 PARIS,75,75019,PARIS,48.87646834,2.39228463,48.87646834
Vélib,20036,20036 - MENILMONTANT - PELLEPORT,164 RUE DE MENILMONTANT - 75020 PARIS,75,75020,PARIS,48.87068263,2.398959602,48.87068263
Vélib,20007,20007 - BUZENVAL,52 RUE BUZENVAL - 75020 PARIS,75,75020,PARIS,48.8516172,2.401513597,48.8516172
Vélib,12004,12004 - TRAVERSIERE,76 RUE TRAVERSIERE - 75012 PARIS,75,75012,PARIS,48.85073582,2.375870112,48.85073582
Vélib,34002,34002 - PERI (SAINT OUEN),128 AVENUE GABRIEL PERI / AVENUE DU CAPITAINE GLAMER - 93400 SAINT OUEN,93,93400,SAINT-OUEN,48.90259224,2.330513565,48.90259224
Vélib,35012,35012 - CANDALE (PANTIN),FACE AU 12 RUE CANDALE - 93500 PANTIN,93,93500,PANTIN,48.88948584,2.414307515,48.88948584
Vélib,16102,16102 - PERGOLÈSE/ MARBEAU,52-54 RUE PERGOLÈSE - 75016 PARIS,75,75016,PARIS,48.87356871,2.281512523,48.87356871
Vélib,22012,22012 - MICHELIS (NEUILLY),32 RUE DE MADELEINE MICHELIS - 92200 NEUILLY,92,92200,NEUILLY-SUR-SEINE,48.88274992,2.277406381,48.88274992
